층대,유형,도로등급,상권등급,검증거래수,L7성립수,L7커버리지,L7_MdAPE,L7_적중률20,새사다리성립수,새사다리커버리지,새사다리_MdAPE,새사다리_적중률20,기존사다리성립수,기존사다리커버리지,기존사다리_MdAPE,기존사다리_적중률20,짝_새vs기존_거래수,짝_새_MdAPE,짝_기존_MdAPE,짝_새vsBASE_거래수,짝_새_MdAPE2,짝_BASE_MdAPE
전체,합계,,,2986,2003,0.670797,0.368896,0.321018,2906,0.973208,0.311619,0.376118,2791,0.934695,0.29056,0.389824,2791,0.297912,0.29056,2906,0.311619,0.383402
전체,큰길·밀집,큰길,밀집,612,581,0.949346,0.332708,0.314974,611,0.998366,0.262633,0.414075,545,0.890523,0.218515,0.47156,545,0.227098,0.218515,611,0.262633,0.317253
전체,큰길·일반상권,큰길,일반상권,158,127,0.803797,0.210985,0.496063,156,0.987342,0.275755,0.442308,155,0.981013,0.252275,0.464516,155,0.273444,0.252275,156,0.275755,0.314405
전체,큰길·상권밖,큰길,상권밖,472,422,0.894068,0.334094,0.381517,451,0.955508,0.288407,0.388027,430,0.911017,0.267431,0.393023,430,0.278448,0.267431,451,0.288407,0.36795
전체,중간·밀집,중간,밀집,365,314,0.860274,0.400666,0.289809,362,0.991781,0.212821,0.480663,353,0.967123,0.219368,0.458924,353,0.214841,0.219368,362,0.212821,0.349956
전체,중간·일반상권,중간,일반상권,210,108,0.514286,0.40225,0.259259,207,0.985714,0.447012,0.270531,205,0.97619,0.475224,0.292683,205,0.447012,0.475224,207,0.447012,0.51077
전체,중간·상권밖,중간,상권밖,396,343,0.866162,0.428701,0.276968,393,0.992424,0.347416,0.330789,379,0.957071,0.309189,0.348285,379,0.333567,0.309189,393,0.347416,0.419116
전체,골목길·밀집,골목길,밀집,103,54,0.524272,0.4187,0.222222,99,0.961165,0.330043,0.282828,99,0.961165,0.384117,0.272727,99,0.330043,0.384117,99,0.330043,0.4134
전체,골목길·일반상권,골목길,일반상권,114,52,0.45614,0.426083,0.192308,113,0.991228,0.488983,0.265487,111,0.973684,0.48661,0.279279,111,0.489261,0.48661,113,0.488983,0.460267
전체,골목길·상권밖,골목길,상권밖,73,2,0.027397,1.181646,0.0,72,0.986301,0.211616,0.486111,72,0.986301,0.211616,0.486111,72,0.211616,0.211616,72,0.211616,0.928208
