단계,축,축값,축값이름,검증거래수,추정성립수,커버리지,MdAPE,MAPE,적중률20
L2,전체,전체,전체,2986,848,0.283992,0.132748,0.33529,0.629717
L2,시도,11,서울특별시,2580,711,0.275581,0.125874,0.315441,0.651195
L2,시도,30,대전광역시,406,137,0.337438,0.183104,0.4383,0.518248
L2,구,11110,종로구,122,13,0.106557,0.229736,0.233385,0.384615
L2,구,11140,중구,256,97,0.378906,0.089288,0.128157,0.845361
L2,구,11170,용산구,211,62,0.293839,0.149146,0.160941,0.677419
L2,구,11200,성동구,45,10,0.222222,0.072276,0.142959,0.7
L2,구,11215,광진구,73,9,0.123288,0.1,0.221568,0.666667
L2,구,11230,동대문구,64,27,0.421875,0.111111,0.209455,0.62963
L2,구,11260,중랑구,63,7,0.111111,0.145208,0.185239,0.714286
L2,구,11290,성북구,44,7,0.159091,0.094203,0.138941,0.857143
L2,구,11305,강북구,34,15,0.441176,0.765423,0.610954,0.266667
L2,구,11320,도봉구,46,9,0.195652,0.125874,0.256854,0.666667
L2,구,11350,노원구,54,10,0.185185,0.214406,0.766604,0.5
L2,구,11380,은평구,87,13,0.149425,0.117647,0.177282,0.692308
L2,구,11410,서대문구,36,15,0.416667,0.193353,0.247277,0.533333
L2,구,11440,마포구,79,16,0.202532,0.065028,0.120337,0.8125
L2,구,11470,양천구,88,24,0.272727,0.103692,0.219646,0.708333
L2,구,11500,강서구,164,37,0.22561,0.125,1.004046,0.675676
L2,구,11530,구로구,144,27,0.1875,0.132075,0.261814,0.666667
L2,구,11545,금천구,99,38,0.383838,0.061908,0.115797,0.868421
L2,구,11560,영등포구,141,44,0.312057,0.117503,1.047865,0.590909
L2,구,11590,동작구,29,5,0.172414,0.117063,0.171071,0.6
L2,구,11620,관악구,91,33,0.362637,0.522248,0.479143,0.181818
L2,구,11650,서초구,123,47,0.382114,0.103659,0.182372,0.702128
L2,구,11680,강남구,262,81,0.30916,0.111111,0.185608,0.679012
L2,구,11710,송파구,123,46,0.373984,0.153254,0.280475,0.543478
L2,구,11740,강동구,102,19,0.186275,0.280944,0.38075,0.368421
L2,구,30110,동구,69,30,0.434783,0.212573,0.181396,0.466667
L2,구,30140,중구,42,4,0.095238,0.069152,0.116127,0.75
L2,구,30170,서구,170,62,0.364706,0.130245,0.254052,0.564516
L2,구,30200,유성구,90,18,0.2,0.251219,0.601346,0.5
L2,구,30230,대덕구,35,23,0.657143,0.225,1.198488,0.434783
L2,층대,1층,1층,828,167,0.201691,0.26791,0.562341,0.401198
L2,층대,2층,2층,574,160,0.278746,0.146811,0.4442,0.63125
L2,층대,3층+,3층+,1584,521,0.328914,0.1,0.229065,0.702495
L4,전체,전체,전체,2986,413,0.138312,0.175,0.276146,0.552058
L4,시도,11,서울특별시,2580,335,0.129845,0.166667,0.283279,0.570149
L4,시도,30,대전광역시,406,78,0.192118,0.212573,0.245508,0.474359
L4,구,11110,종로구,122,4,0.032787,0.245576,0.390226,0.25
L4,구,11140,중구,256,56,0.21875,0.115554,0.149265,0.875
L4,구,11170,용산구,211,4,0.018957,0.066548,0.095455,0.75
L4,구,11200,성동구,45,1,0.022222,0.077611,0.077611,1.0
L4,구,11215,광진구,73,3,0.041096,0.357143,0.275453,0.333333
L4,구,11230,동대문구,64,19,0.296875,0.111111,0.162064,0.684211
L4,구,11260,중랑구,63,1,0.015873,0.450061,0.450061,0.0
L4,구,11290,성북구,44,1,0.022727,0.718531,0.718531,0.0
L4,구,11305,강북구,34,14,0.411765,0.77019,0.654263,0.214286
L4,구,11320,도봉구,46,1,0.021739,0.514461,0.514461,0.0
L4,구,11350,노원구,54,4,0.074074,0.488684,0.913037,0.25
L4,구,11380,은평구,87,6,0.068966,0.200281,0.218185,0.5
L4,구,11410,서대문구,36,4,0.111111,0.032468,0.03767,1.0
L4,구,11440,마포구,79,4,0.050633,0.046295,0.060683,1.0
L4,구,11470,양천구,88,12,0.136364,0.318498,0.348626,0.416667
L4,구,11500,강서구,164,19,0.115854,0.185185,0.228728,0.578947
L4,구,11530,구로구,144,11,0.076389,0.2,0.31536,0.454545
L4,구,11545,금천구,99,33,0.333333,0.058201,0.083425,0.909091
L4,구,11560,영등포구,141,21,0.148936,0.4,0.418578,0.428571
L4,구,11590,동작구,29,0,0.0,,,
L4,구,11620,관악구,91,26,0.285714,0.601093,0.573031,0.0
L4,구,11650,서초구,123,23,0.186992,0.187552,0.248594,0.521739
L4,구,11680,강남구,262,40,0.152672,0.127742,0.267984,0.6
L4,구,11710,송파구,123,20,0.162602,0.351728,0.336923,0.45
L4,구,11740,강동구,102,8,0.078431,0.293369,0.350081,0.375
L4,구,30110,동구,69,22,0.318841,0.030021,0.115325,0.545455
L4,구,30140,중구,42,0,0.0,,,
L4,구,30170,서구,170,27,0.158824,0.27142,0.302051,0.444444
L4,구,30200,유성구,90,12,0.133333,0.293147,0.397148,0.25
L4,구,30230,대덕구,35,17,0.485714,0.168698,0.217135,0.588235
L4,층대,1층,1층,828,89,0.107488,0.272699,0.328346,0.438202
L4,층대,2층,2층,574,78,0.135889,0.19993,0.340963,0.5
L4,층대,3층+,3층+,1584,246,0.155303,0.131998,0.236708,0.609756
L5,전체,전체,전체,2986,709,0.237441,0.257715,0.580662,0.403385
L5,시도,11,서울특별시,2580,601,0.232946,0.249361,0.594185,0.420965
L5,시도,30,대전광역시,406,108,0.26601,0.297078,0.505408,0.305556
L5,구,11110,종로구,122,3,0.02459,0.180969,0.147534,0.666667
L5,구,11140,중구,256,83,0.324219,0.182015,0.296024,0.578313
L5,구,11170,용산구,211,49,0.232227,0.381094,0.641409,0.285714
L5,구,11200,성동구,45,3,0.066667,0.52956,0.529413,0.0
L5,구,11215,광진구,73,2,0.027397,0.489397,0.489397,0.0
L5,구,11230,동대문구,64,22,0.34375,0.422274,0.490315,0.363636
L5,구,11260,중랑구,63,1,0.015873,0.544468,0.544468,0.0
L5,구,11290,성북구,44,0,0.0,,,
L5,구,11305,강북구,34,10,0.294118,0.432739,0.533447,0.3
L5,구,11320,도봉구,46,8,0.173913,0.402564,0.514544,0.25
L5,구,11350,노원구,54,2,0.037037,0.206088,0.206088,0.5
L5,구,11380,은평구,87,14,0.16092,0.521966,1.214917,0.142857
L5,구,11410,서대문구,36,5,0.138889,0.484761,0.50633,0.4
L5,구,11440,마포구,79,5,0.063291,0.02785,0.235109,0.8
L5,구,11470,양천구,88,25,0.284091,0.278235,0.419445,0.2
L5,구,11500,강서구,164,69,0.420732,0.161221,0.281281,0.623188
L5,구,11530,구로구,144,24,0.166667,0.341584,0.739627,0.375
L5,구,11545,금천구,99,32,0.323232,0.055416,0.120275,0.84375
