구분,축값,축값이름,검증거래수,추정성립수,커버리지,MdAPE,MAPE,적중률20
전체,전체,전체,2986,2791,0.934695,0.29056,0.501468,0.389824
시도,11,서울특별시,2580,2431,0.942248,0.29668,0.498919,0.39202
시도,30,대전광역시,406,360,0.8867,0.270544,0.518687,0.375
구,11110,종로구,122,91,0.745902,0.453239,0.524901,0.164835
구,11140,중구,256,213,0.832031,0.136618,0.301342,0.610329
구,11170,용산구,211,206,0.976303,0.279066,0.555404,0.393204
구,11200,성동구,45,42,0.933333,0.474448,0.785056,0.190476
구,11215,광진구,73,65,0.890411,0.357143,0.507234,0.4
구,11230,동대문구,64,63,0.984375,0.335293,0.578597,0.396825
구,11260,중랑구,63,61,0.968254,0.236642,0.305806,0.491803
구,11290,성북구,44,34,0.772727,0.5446,1.50226,0.323529
구,11305,강북구,34,34,1.0,0.331089,0.524487,0.323529
구,11320,도봉구,46,40,0.869565,0.353063,0.427899,0.375
구,11350,노원구,54,54,1.0,0.252783,0.420395,0.388889
구,11380,은평구,87,87,1.0,0.291857,0.491327,0.310345
구,11410,서대문구,36,35,0.972222,0.320217,0.335521,0.428571
구,11440,마포구,79,75,0.949367,0.255545,0.41096,0.44
구,11470,양천구,88,88,1.0,0.282544,0.523816,0.375
구,11500,강서구,164,164,1.0,0.179945,0.519044,0.579268
구,11530,구로구,144,121,0.840278,0.586827,0.452894,0.297521
구,11545,금천구,99,99,1.0,0.259708,0.314925,0.474747
구,11560,영등포구,141,138,0.978723,0.397206,0.772407,0.311594
구,11590,동작구,29,23,0.793103,0.377248,0.416442,0.304348
구,11620,관악구,91,90,0.989011,0.333618,0.420906,0.244444
구,11650,서초구,123,122,0.99187,0.275701,0.383268,0.409836
구,11680,강남구,262,262,1.0,0.283166,0.388526,0.389313
구,11710,송파구,123,123,1.0,0.37309,0.58942,0.349593
구,11740,강동구,102,101,0.990196,0.488372,0.783368,0.267327
구,30110,동구,69,46,0.666667,0.230054,0.259999,0.326087
구,30140,중구,42,36,0.857143,0.51706,0.771824,0.194444
구,30170,서구,170,170,1.0,0.246414,0.500963,0.417647
구,30200,유성구,90,78,0.866667,0.256038,0.420593,0.371795
구,30230,대덕구,35,30,0.857143,0.213608,0.96706,0.433333
층대,1층,1층,828,739,0.892512,0.452441,0.730249,0.240866
층대,2층,2층,574,527,0.918118,0.291265,0.560552,0.366224
층대,3층+,3층+,1584,1525,0.962753,0.218515,0.370186,0.470164
채택단계,L2,L2,848,848,1.0,0.132748,0.33529,0.629717
채택단계,L4,L4,45,45,1.0,0.278448,0.421224,0.288889
채택단계,L5,L5,302,302,1.0,0.421921,0.616452,0.261589
채택단계,L6,L6,1596,1596,1.0,0.402497,0.570269,0.289474
채택단계,no_estimate,no_estimate,195,0,0.0,,,
