sigungu_code,sigungu_nm,n_paired,ladder_mdape,base_mdape,gate_pass
11110,종로구,91,0.453239,0.398287,false
11140,중구,213,0.136618,0.542567,true
11170,용산구,206,0.279066,0.414327,true
11200,성동구,42,0.474448,0.428535,false
11215,광진구,65,0.357143,0.315152,false
11230,동대문구,63,0.335293,0.440625,false
11260,중랑구,61,0.236642,0.246416,true
11290,성북구,34,0.5446,0.378004,false
11305,강북구,34,0.331089,0.584471,false
11320,도봉구,40,0.353063,0.35112,false
11350,노원구,54,0.252783,0.351411,true
11380,은평구,87,0.291857,0.320256,true
11410,서대문구,35,0.320217,0.323679,false
11440,마포구,75,0.255545,0.341427,true
11470,양천구,88,0.282544,0.367869,true
11500,강서구,164,0.179945,0.189993,true
11530,구로구,121,0.586827,0.70535,false
11545,금천구,99,0.259708,0.175917,false
11560,영등포구,138,0.397206,0.482923,false
11590,동작구,23,0.377248,0.451227,false
11620,관악구,90,0.333618,0.287845,false
11650,서초구,122,0.275701,0.43036,true
11680,강남구,262,0.283166,0.491653,true
11710,송파구,123,0.37309,0.299964,false
11740,강동구,101,0.488372,0.399606,false
30110,동구,46,0.230054,0.244419,true
30140,중구,36,0.51706,0.605033,false
30170,서구,170,0.246414,0.255209,true
30200,유성구,78,0.256038,0.373888,true
30230,대덕구,30,0.213608,0.283343,true
