sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11110,종로구,빌딩,on,458.557,455.497,457.027,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11110,종로구,빌딩,off,284.156,283.258,283.707,Index Scan using,idx_msp_pnu,1,,y
11110,종로구,타워,on,375.58,373.13,374.355,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11110,종로구,타워,off,211.935,211.804,211.87,Seq Scan on,building,242631,,y
11110,종로구,상가,on,388.734,388.075,388.404,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11110,종로구,상가,off,207.275,206.488,206.882,Seq Scan on,building,242631,,y
11110,종로구,플라자,on,0.832,0.82,0.826,Index Scan using,idx_msp_pnu,1,,y
11110,종로구,플라자,off,198.278,197.445,197.861,Seq Scan on,building,242631,,y
11140,중구(서울),빌딩,on,455.359,452.473,453.916,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11140,중구(서울),빌딩,off,279.894,280.795,280.345,Index Scan using,idx_msp_pnu,1,,y
11140,중구(서울),타워,on,371.279,371.014,371.147,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11140,중구(서울),타워,off,210.552,210.137,210.344,Seq Scan on,building,242631,,y
11140,중구(서울),상가,on,384.164,384.32,384.242,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11140,중구(서울),상가,off,205.898,205.296,205.597,Seq Scan on,building,242631,,y
11140,중구(서울),플라자,on,1.084,1.072,1.078,Index Scan using,idx_msp_pnu,1,,y
11140,중구(서울),플라자,off,193.402,194.798,194.1,Seq Scan on,building,242631,,y
11170,용산구,빌딩,on,454.069,455.179,454.624,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11170,용산구,빌딩,off,277.809,275.455,276.632,Index Scan using,idx_msp_pnu,1,,y
11170,용산구,타워,on,376.064,374.904,375.484,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11170,용산구,타워,off,207.262,207.923,207.593,Seq Scan on,building,242631,,y
11170,용산구,상가,on,387.281,388.132,387.707,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11170,용산구,상가,off,202.477,201.097,201.787,Seq Scan on,building,242631,,y
11170,용산구,플라자,on,0.808,0.804,0.806,Index Scan using,idx_msp_pnu,1,,y
11170,용산구,플라자,off,197.632,195.121,196.377,Seq Scan on,building,242631,,y
11200,성동구,빌딩,on,451.711,449.991,450.851,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11200,성동구,빌딩,off,278.74,280.814,279.777,Index Scan using,idx_msp_pnu,1,,y
11200,성동구,타워,on,371.868,371.587,371.727,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11200,성동구,타워,off,210.58,210.595,210.588,Seq Scan on,building,242631,,y
11200,성동구,상가,on,384.984,385.774,385.379,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11200,성동구,상가,off,205.248,205.17,205.209,Seq Scan on,building,242631,,y
11200,성동구,플라자,on,0.844,0.813,0.829,Index Scan using,idx_msp_pnu,1,,y
11200,성동구,플라자,off,195.164,195.116,195.14,Seq Scan on,building,242631,,y
11215,광진구,빌딩,on,450.961,451.877,451.419,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11215,광진구,빌딩,off,277.661,278.311,277.986,Index Scan using,idx_msp_pnu,1,,y
11215,광진구,타워,on,379.64,373.066,376.353,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11215,광진구,타워,off,207.606,208.266,207.936,Seq Scan on,building,242631,,y
11215,광진구,상가,on,383.975,381.581,382.778,Bitmap Index Scan on,idx_msp_road_key,188442,,y
11215,광진구,상가,off,202.982,201.307,202.144,Seq Scan on,building,242631,,y
11215,광진구,플라자,on,0.86,0.819,0.839,Index Scan using,idx_msp_pnu,1,,y
11215,광진구,플라자,off,194.063,193.223,193.643,Seq Scan on,building,242631,,y
11230,동대문구,빌딩,on,451.579,452.614,452.096,Bitmap Index Scan on,idx_msp_road_key,188442,,y
