sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11110,종로구,카페,on,237.684,237.146,237.415,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11110,종로구,카페,off,26.553,26.439,26.496,Index Scan using,idx_mpsn_sigungu,205,7313,y
11110,종로구,학원,on,234.962,231.302,233.132,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11110,종로구,학원,off,23.14,22.781,22.96,Index Scan using,idx_mpsn_sigungu,121,7397,y
11110,종로구,공인중개사,on,33.621,33.532,33.576,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11110,종로구,공인중개사,off,32.493,32.748,32.62,Index Scan using,idx_mpsn_sigungu,275,7243,y
11110,종로구,편의점,on,1.001,1.022,1.011,Bitmap Index Scan on,idx_mpsn_sigungu,7518,,y
11110,종로구,편의점,off,4.9,4.953,4.927,Index Scan using,idx_mpsn_sigungu,2,7516,y
11110,종로구,스타벅스,on,12.668,12.96,12.814,Index Scan using,idx_mpsn_pnu,1,,y
11110,종로구,스타벅스,off,17.386,17.445,17.416,Index Scan using,idx_mpsn_sigungu,40,7478,y
11110,종로구,미용실,on,19.44,12.687,16.064,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11110,종로구,미용실,off,13.852,13.559,13.706,Index Scan using,idx_mpsn_sigungu,62,7456,y
11140,중구(서울),카페,on,234.692,233.421,234.056,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11140,중구(서울),카페,off,26.854,26.776,26.815,Index Scan using,idx_mpsn_sigungu,165,6082,y
11140,중구(서울),학원,on,222.997,221.968,222.483,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11140,중구(서울),학원,off,15.692,15.642,15.667,Index Scan using,idx_mpsn_sigungu,58,6189,y
11140,중구(서울),공인중개사,on,35.294,35.126,35.21,Bitmap Index Scan on,idx_mpsn_names,14180,,y
