district_id,rone_region_nm,match_method,note
sbiz-10441,대전>가수원,normalized,
sbiz-10437,대전>노은,normalized,
sbiz-10461,대전>대전원도심,manual,중앙로(중구 은행동) = 원도심 중심
sbiz-10462,대전>대전원도심,manual,중앙로(중구 은행동) = 원도심 중심
sbiz-10467,대전>대전원도심,manual,대전역 일대가 원도심 상권의 축이다(동구 정동)
sbiz-10471,대전>동춘당공원,manual,동춘당이 대덕구 송촌동에 있다
sbiz-10446,대전>둔산,normalized,
sbiz-10447,대전>둔산,manual,대전시청이 둔산동에 있다
sbiz-10451,대전>둔산,manual,둔산동 소재. 자동은 앞말 겹침 0.29로 애매였다
sbiz-10439,대전>목원대,normalized,
sbiz-10470,대전>복합터미널,manual,대전복합터미널이 곧 이곳(동구 용전동). 유성고속터미널은 다른 지역이라 제외했다
sbiz-10460,대전>서대전네거리,manual,오류동은 서대전네거리 바로 옆이다(중구)
sbiz-10454,대전>용문/한민시장,normalized,
sbiz-10455,대전>용문/한민시장,normalized,
sbiz-10440,대전>유성온천역,normalized,
3120189,서울>강남>강남대로,manual,강남역 사거리가 강남대로 상권의 중심. 자동은 학동/강남구청역과 비겼다
3120172,서울>강남>교대역,token,앞말 겹침 0.5 (교대입구교차로 ≈ 교대역)
3120173,서울>강남>교대역,exact,
3110929,서울>강남>남부터미널,normalized,
3120175,서울>강남>남부터미널,normalized,
3110950,서울>강남>논현역,normalized,
3110952,서울>강남>논현역,token,앞말 겹침 0.5 (논현목련공원 ≈ 논현역)
3110955,서울>강남>논현역,normalized,
3110966,서울>강남>논현역,token,앞말 겹침 0.5 (논현2동주민센터 ≈ 논현역)
3110977,서울>강남>논현역,token,앞말 겹침 0.3333 (논현로18길 ≈ 논현역)
3120174,서울>강남>논현역,normalized,
3120176,서울>강남>논현역,normalized,
3120185,서울>강남>논현역,exact,
3130305,서울>강남>논현역,token,앞말 겹침 0.3333 (논현종합시장 ≈ 논현역)
3120193,서울>강남>도산대로,token,앞말 겹침 0.5 (도산공원교차로 ≈ 도산대로)
3110903,서울>강남>방배역/내방역,token,앞말 겹침 0.3333 (방배아이파크아파트 ≈ 방배역)
3110905,서울>강남>방배역/내방역,manual,서초구 방배동
3110907,서울>강남>방배역/내방역,normalized,
3110910,서울>강남>방배역/내방역,normalized,
3110911,서울>강남>방배역/내방역,manual,서초구 방배동
3110912,서울>강남>방배역/내방역,token,앞말 겹침 0.3333 (방배동사이길 ≈ 방배역)
3110913,서울>강남>방배역/내방역,manual,서초구 방배동
3110914,서울>강남>방배역/내방역,normalized,
3110916,서울>강남>방배역/내방역,normalized,
3110918,서울>강남>방배역/내방역,normalized,
3110919,서울>강남>방배역/내방역,normalized,
3110920,서울>강남>방배역/내방역,normalized,
3110922,서울>강남>방배역/내방역,normalized,
3110923,서울>강남>방배역/내방역,normalized,
3120161,서울>강남>방배역/내방역,manual,서초구 방배동 소재라 동작구 사당 상권이 아니다. 자동은 사당과 비겼다
3120162,서울>강남>방배역/내방역,manual,서초구 방배동
